"datasetS","uriS","hdtS","datasetT","uriT","hdtT","cDatatypesS","cDatatypesT"
"models/cs_metadata_2.rdf","http://citeseer.rkbexplorer.com/id/resource-CS205432","http://download.lodlaundromat.org/9e72ab8693f3de3d077d7f794e97fe0d?type=hdt","models/cs_metadata_2.rdf","http://ibm.rkbexplorer.com/id/tech-report-65dc4e292c00bb7b3e30ab52ace99474","http://download.lodlaundromat.org/9e72ab8693f3de3d077d7f794e97fe0d?type=hdt","2","1"
"models/cs_metadata_3.rdf","http://citeseer.rkbexplorer.com/id/resource-CS360661","http://download.lodlaundromat.org/44e189981cb2c0e1376ba5e2514e77d7?type=hdt","models/cs_metadata_3.rdf","http://ibm.rkbexplorer.com/id/inproceedings-8c9077094d8e66d759af900c54be9e82","http://download.lodlaundromat.org/44e189981cb2c0e1376ba5e2514e77d7?type=hdt","2","2"
"http://km.aifb.kit.edu/projects/btc-2009/btc-2009-chunk-058.gz","http://citeseer.rkbexplorer.com/id/resource-CS458166","http://download.lodlaundromat.org/b7081efa178bc4ab3ff3a6ef5abac9b2?type=hdt","http://km.aifb.kit.edu/projects/btc-2009/btc-2009-chunk-058.gz","http://ibm.rkbexplorer.com/id/inproceedings-25cd9929ade9f962a406af147675f070","http://download.lodlaundromat.org/b7081efa178bc4ab3ff3a6ef5abac9b2?type=hdt","2","2"
"http://km.aifb.kit.edu/projects/btc-2009/btc-2009-chunk-001.gz","http://citeseer.rkbexplorer.com/id/resource-CS545481","http://download.lodlaundromat.org/4cd7e62eb7f8db7888f92200ccc930f6?type=hdt","http://km.aifb.kit.edu/projects/btc-2009/btc-2009-chunk-001.gz","http://ibm.rkbexplorer.com/id/tech-report-8f4e611108e87b34a87890183b87b2ca","http://download.lodlaundromat.org/4cd7e62eb7f8db7888f92200ccc930f6?type=hdt","3","1"
"models/cs_metadata_4.rdf","http://citeseer.rkbexplorer.com/id/resource-CS404866","http://download.lodlaundromat.org/364cbc9e0ebaaafba04d235b360ac584?type=hdt","models/cs_metadata_4.rdf","http://ibm.rkbexplorer.com/id/inproceedings-e53859c1708d972e3bc35b74743869e9","http://download.lodlaundromat.org/364cbc9e0ebaaafba04d235b360ac584?type=hdt","2","2"
"http://km.aifb.kit.edu/projects/btc-2009/btc-2009-chunk-039.gz","http://citeseer.rkbexplorer.com/id/resource-CS458875","http://download.lodlaundromat.org/15b06d92ae660ffdcff9690c3d6f5185?type=hdt","http://km.aifb.kit.edu/projects/btc-2009/btc-2009-chunk-039.gz","http://ibm.rkbexplorer.com/id/inproceedings-ea51fcfdc0798a43dc5cd1ce25f746d5","http://download.lodlaundromat.org/15b06d92ae660ffdcff9690c3d6f5185?type=hdt","3","3"
"models/cs_metadata_4.rdf","http://citeseer.rkbexplorer.com/id/resource-CS459316","http://download.lodlaundromat.org/364cbc9e0ebaaafba04d235b360ac584?type=hdt","models/cs_metadata_4.rdf","http://ibm.rkbexplorer.com/id/article-e3ab54416902419fcd4c12f5a4db2e36","http://download.lodlaundromat.org/364cbc9e0ebaaafba04d235b360ac584?type=hdt","2","4"
"http://km.aifb.kit.edu/projects/btc-2009/btc-2009-chunk-039.gz","http://citeseer.rkbexplorer.com/id/resource-CS471313","http://download.lodlaundromat.org/15b06d92ae660ffdcff9690c3d6f5185?type=hdt","http://km.aifb.kit.edu/projects/btc-2009/btc-2009-chunk-039.gz","http://ibm.rkbexplorer.com/id/tech-report-758f1c6f3ccdfe4dbacfb476f9c65a46","http://download.lodlaundromat.org/15b06d92ae660ffdcff9690c3d6f5185?type=hdt","3","2"
"models/cs_metadata_5.rdf","http://citeseer.rkbexplorer.com/id/resource-CS546034","http://download.lodlaundromat.org/c21a5006dd29d362b28a0350ea25e28c?type=hdt","models/cs_metadata_5.rdf","http://ibm.rkbexplorer.com/id/tech-report-9f3ad91a14e0b609148a6b2379ec0a3f","http://download.lodlaundromat.org/c21a5006dd29d362b28a0350ea25e28c?type=hdt","2","2"
"http://km.aifb.kit.edu/projects/btc-2009/btc-2009-chunk-039.gz","http://citeseer.rkbexplorer.com/id/resource-CS545588","http://download.lodlaundromat.org/15b06d92ae660ffdcff9690c3d6f5185?type=hdt","http://km.aifb.kit.edu/projects/btc-2009/btc-2009-chunk-039.gz","http://ibm.rkbexplorer.com/id/inproceedings-ff6cb0a66740fc9775d3947b5245dabd","http://download.lodlaundromat.org/15b06d92ae660ffdcff9690c3d6f5185?type=hdt","2","1"
"models/cs_metadata_2.rdf","http://citeseer.rkbexplorer.com/id/resource-CS315351","http://download.lodlaundromat.org/9e72ab8693f3de3d077d7f794e97fe0d?type=hdt","models/cs_metadata_2.rdf","http://ibm.rkbexplorer.com/id/article-f20c3c9363028fc4bb603044e96f826a","http://download.lodlaundromat.org/9e72ab8693f3de3d077d7f794e97fe0d?type=hdt","2","4"
"models/cs_metadata_2.rdf","http://citeseer.rkbexplorer.com/id/resource-CS59531","http://download.lodlaundromat.org/9e72ab8693f3de3d077d7f794e97fe0d?type=hdt","models/cs_metadata_2.rdf","http://ibm.rkbexplorer.com/id/article-c76f7aa3103a6634fe3d5e3814e2d03c","http://download.lodlaundromat.org/9e72ab8693f3de3d077d7f794e97fe0d?type=hdt","2","1"
"http://km.aifb.kit.edu/projects/btc-2009/btc-2009-chunk-001.gz","http://citeseer.rkbexplorer.com/id/resource-CS87710","http://download.lodlaundromat.org/4cd7e62eb7f8db7888f92200ccc930f6?type=hdt","http://km.aifb.kit.edu/projects/btc-2009/btc-2009-chunk-001.gz","http://ibm.rkbexplorer.com/id/inproceedings-fca048bb160aa9ef364324539064bc97","http://download.lodlaundromat.org/4cd7e62eb7f8db7888f92200ccc930f6?type=hdt","3","2"
"http://km.aifb.kit.edu/projects/btc-2009/btc-2009-chunk-001.gz","http://citeseer.rkbexplorer.com/id/resource-CS363876","http://download.lodlaundromat.org/4cd7e62eb7f8db7888f92200ccc930f6?type=hdt","http://km.aifb.kit.edu/projects/btc-2009/btc-2009-chunk-001.gz","http://ibm.rkbexplorer.com/id/inproceedings-8fa3bcfc949c96b0465e8d6e440cece6","http://download.lodlaundromat.org/4cd7e62eb7f8db7888f92200ccc930f6?type=hdt","3","2"
"models/cs_metadata_5.rdf","http://citeseer.rkbexplorer.com/id/resource-CS545944","http://download.lodlaundromat.org/c21a5006dd29d362b28a0350ea25e28c?type=hdt","models/cs_metadata_5.rdf","http://ibm.rkbexplorer.com/id/inproceedings-a8863735cf095118876660f376e4ef04","http://download.lodlaundromat.org/c21a5006dd29d362b28a0350ea25e28c?type=hdt","2","1"
"http://km.aifb.kit.edu/projects/btc-2009/btc-2009-chunk-020.gz","http://citeseer.rkbexplorer.com/id/resource-CS387545","http://download.lodlaundromat.org/f1c94aede816e06444382be01843e5bb?type=hdt","http://km.aifb.kit.edu/projects/btc-2009/btc-2009-chunk-020.gz","http://ibm.rkbexplorer.com/id/tech-report-a0eae9dd28dfabe6935b928993249b9a","http://download.lodlaundromat.org/f1c94aede816e06444382be01843e5bb?type=hdt","3","2"
"http://km.aifb.kit.edu/projects/btc-2009/btc-2009-chunk-039.gz","http://citeseer.rkbexplorer.com/id/resource-CS545414","http://download.lodlaundromat.org/15b06d92ae660ffdcff9690c3d6f5185?type=hdt","http://km.aifb.kit.edu/projects/btc-2009/btc-2009-chunk-039.gz","http://ibm.rkbexplorer.com/id/inproceedings-1884f7af2e851a7ac1b3b3732584e35d","http://download.lodlaundromat.org/15b06d92ae660ffdcff9690c3d6f5185?type=hdt","2","1"
